# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
жена,41
жизнью,41
мосту,41
неловко,41
опасности,41
петербурга,41
поди,41
поступок,41
причиной,41
пришли,41
решил,41
сделала,41
тушин,41
чувством,41
большая,40
воле,40
вопроса,40
высоко,40
двумя,40
держал,40
другому,40
женщин,40
жестом,40
залу,40
ипполит,40
каратаев,40
количество,40
кровь,40
крыльцо,40
муж,40
обратилась,40
опустив,40
остановились,40
павловны,40
партии,40
первой,40
пойдем,40
причина,40
ради,40
робко,40
событий,40
таком,40
толпе,40
тысячи,40
удовольствие,40
фланг,40
часа,40
честь,40
читать,40
вновь,39
глупости,39
господи,39
грудь,39
губы,39
гусары,39
делают,39
замуж,39
левой,39
лысых,39
марьей,39
мужиков,39
нашей,39
новый,39
обе,39
оглядывался,39
ответ,39
побежал,39
понимала,39
права,39
предложение,39
приезда,39
пускай,39
ребенка,39
свидания,39
сих,39
скажи,39
слезами,39
соню,39
сперанский,39
сражении,39
узнать,39
хотели,39
целый,39
час,39
шла,39
большого,38
великого,38
видели,38
войсками,38
впечатление,38
второй,38
городе,38
грустно,38
думаете,38
душу,38
императору,38
кабинете,38
казак,38
лесу,38
называл,38
налево,38
общее,38
поскакал,38
произошло,38
рада,38
ростовым,38
серьезно,38
становилось,38
чему,38
большим,37
боюсь,37
бумаги,37
высокий,37
главнокомандующий,37
дни,37
довольно,37
дрон,37
зале,37
ибо,37
казались,37
конца,37
марш,37
моих,37
навсегда,37
находится,37
наша,37
небо,37
ожидал,37
ответил,37
передать,37
пошли,37
пути,37
ребенок,37
речь,37
ряд,37
ряды,37
силой,37
службы,37
спросить,37
условий,37
армией,36
ваши,36
всякую,36
выражения,36
генералы,36
говоришь,36
дым,36
законы,36
каждом,36
можете,36
молодых,36
молчал,36
написал,36
нахмурившись,36
николаю,36
нового,36
обществе,36
офицеру,36
покраснел,36
поскорее,36
рассказывать,36
редко,36
ростовы,36
света,36
служить,36
соней,36
спал,36
счастия,36
услыхал,36
бале,35
бежали,35
большей,35
будем,35
бывало,35
быстрыми,35
ваша,35
видит,35
всякое,35
желала,35
желания,35
женой,35
имя,35
исторических,35
итти,35
каждого,35
кем,35
краснея,35
лежала,35
многих,35
направлению,35
недели,35
ничто,35
оставить,35
отцом,35
отъезда,35
плен,35
плечи,35
показать,35
предмет,35
прокричал,35
слышать,35
собак,35
старой,35
столом,35
сыну,35
теми,35
темноте,35
торопливо,35
увидала,35
упал,35
части,35
шинели,35
великий,34
взгляда,34
взяла,34
виднелись,34
возможно,34
волнения,34
города,34
думает,34
ждать,34
иди,34
имела,34
кабинета,34
лично,34
медленно,34
месяца,34
наполеоном,34
наполеону,34
неподвижно,34
первые,34
показал,34
поняла,34
прибавила,34
приехать,34
рано,34
распоряжения,34
сказав,34
солдатами,34
спрашивать,34
спрашивая,34
удовольствием,34
указал,34
чувствовать,34
верить,33
взглянула,33
вовсе,33
войну,33
вошли,33
впрочем,33
голове,33
графиню,33
делая,33
денисову,33
добродетели,33
земле,33
красным,33
лицу,33
масс,33
мгновенно,33
мнения,33
моста,33
мою,33
образ,33
остаться,33
ответа,33
плечо,33
подумала,33
послал,33
ребята,33
роль,33
россию,33
рублей,33
самая,33
сделалось,33
слышала,33
смысл,33
старая,33
счастие,33
сыном,33
тон,33
трудом,33
умел,33
французам,33
чаще,33
черными,33
августа,32
андреем,32
батареи,32
белой,32
боялась,32
василия,32
вина,32
внимательно,32
военного,32
встала,32
выразить,32
горя,32
готово,32
драться,32
ждал,32
заплакала,32
знак,32
известия,32
историю,32
каждым,32
каком,32
княжной,32
левый,32
малейшего,32
мною,32
молодые,32
новая,32
оставаться,32
остановил,32
первая,32
передал,32
передней,32
пети,32
пойду,32
приехали,32
продолжение,32
пушки,32
радостное,32
радость,32
рот,32
сделано,32
сказано,32
спуская,32
удивлением,32
удовольствия,32
усилия,32
условия,32
услыхав,32
фигура,32
хочется,32
блестящими,31
велено,31
вздохнул,31
виконт,31
врага,31
вставая,31
горах,31
делала,31
домов,31
дому,31
дорогой,31
достал,31
дурак,31
дыма,31
едет,31
жив,31
задумался,31
заметила,31
знакомых,31
колонны,31
курагина,31
малый,31
маменька,31
многие,31
наверное,31
направо,31
нескольких,31
николенька,31
ничем,31
общего,31
остановиться,31
отношение,31
отыскивая,31
поднимая,31
полкового,31
понятие,31
поцеловала,31
почувствовала,31
представлялось,31
прекрасно,31
присутствии,31
пришла,31
происходит,31
просила,31
разговоры,31
разу,31
самую,31
связи,31
состояние,31
старательно,31
сто,31
углу,31
удержать,31
ужас,31
холодно,31
шаг,31
алпатыча,30
болезни,30
больших,30
борису,30
василья,30
верст,30
вещей,30
взгляде,30
взяли,30
волосы,30
делах,30
долоховым,30
думали,30
замолчал,30
засмеялся,30
кареты,30
кверху,30
кричали,30
находилась,30
ночью,30
обедом,30
объяснить,30
орудий,30
остался,30
открыл,30
платок,30
подал,30
половину,30
правду,30
прикажете,30
продолжая,30
рассказ,30
рассказывали,30
сделаю,30
